Part ID,Value,Package,Stock Code,Stock Code,Rotation,X,Y
CN7,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,1-534236-10,0,4.50499,25.9001
CN10,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,1-534236-10,0,65.4649,25.94
U5,ECE298_RS_74HCT541,SO20W,,,0,44.9476,25.4759
C6,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,90,45.1,26.1899
J9,ECE298_RS_10PINREC,CONN-SIL10,,,90,56.9001,31.6301
U9,ECE298_RS_74HCT541,SO20W,,,-180,53.4436,7.58426
J20,ECE298_RS_2PINHDR,SIL-100-02,,,0,62.2699,55.2
U6,ECE298_RS_L9110,SO8,,,0,23.9,27.2001
J6,ECE298_RS_4PINREC,CONN-SIL4,,,0,19.91,18.1
J8,ECE298_RS_BENCH_POWER,SIL-100-02R,,,0,15.77,45.9999
J10,ECE298_RS_4PINREC,CONN-SIL4,,,0,14.7223,24.068
J11,ECE298_RS_2PINHDR,SIL-100-02,,,0,32.67,30.4
J12,ECE298_RS_3PINHDR,SIL-100-03,,,0,22.94,1.34262
C1,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,270,54.0436,7.50032
J13,ECE298_RS_3PINHDR,SIL-100-03,,,180,40.8399,14
J15,ECE298_RS_4PINREC,CONN-SIL4,,,-90,35.5999,4.51
C2,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,0,40.9001,11.2
R1,62,RESC1005X40,Digikey 311-150JDKR-ND,Digikey 311-150JDKR-ND,0,39.1,7.00001
R2,120,RESC1005X40,Digikey 311-150JDKR-ND,Digikey 311-150JDKR-ND,0,39.1,4.59999
R3,62,RESC1005X40,Digikey 311-150JDKR-ND,Digikey 311-150JDKR-ND,0,39.1,1.6
J16,ECE298_TERMINAL_VIA,PIN,,,0,33.5001,14
U4,ECE298_RS_CMOS4050,DIL16,,,0,20.79,11.2526
C8,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,180,20.4208,11.4
C16,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,180,23.8,21.8
C18,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,180,11.0247,29.1361
RV2,10K,TRIM_3361P,Digikey 3361P-103GLFDKR-ND,Digikey 3361P-103GLFDKR-ND,180,32.7,23.8
J14,ECE298_RS_BENCH_POWER,SIL-100-02R,,,180,15.43,40.1
C4,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,180,25.1,31.2001
C14,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,180,23.3,24.1
C9,10u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,-90,10.3,39.6001
C3,10u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,180,15.8,51.3001
C10,10u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,270,9.90001,35.5001
C11,10u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,-90,10.6,4.19999
C13,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,180,62.3999,57.6001
C20,10u,CAPC2012X100,Digikey PCC2182TR-ND,Digikey PCC2182TR-ND,90,9.90001,31.9999
J19,ECE298_TERMINAL_VIA,PIN,,,0,60.6999,13.9
J1,ECE298_TERMINAL_VIA,PIN,,,0,30.9999,2.89999
J2,ECE298_TERMINAL_VIA,PIN,,,0,37.1,19.8
